hist_tercile,h,model,rmse,n,rmse_sea,skill_pct
long,1,chronos,1.8354858654308996,4852,2.3547217400997305,22.05083793241911
long,1,climatology,2.8150678355875596,4852,2.3547217400997305,-19.549914864604425
long,1,gru,1.8187781731273387,4852,2.3547217400997305,22.76037791835619
long,1,lstm,1.868150348081875,4852,2.3547217400997305,20.663647161861576
long,1,persistence,2.88260925866568,4852,2.3547217400997305,-22.41825475920529
long,1,random_forest,1.8211208902082558,4852,2.3547217400997305,22.660887730576384
long,1,seasonal_naive,2.3547217400997305,4852,2.3547217400997305,0.0
long,1,xgboost,1.82092404989197,4852,2.3547217400997305,22.669247118139413
long,2,chronos,2.039464074866121,4456,2.3548279219095667,13.392224718811397
long,2,climatology,2.8839082181501334,4456,2.3548279219095667,-22.467896329831483
long,2,gru,2.0713893750227816,4456,2.3548279219095667,12.03648658356914
long,2,lstm,2.1195122719298904,4456,2.3548279219095667,9.992902147552895
long,2,persistence,3.3863340581005748,4456,2.3548279219095667,-43.80388590579236
long,2,random_forest,2.001093332540929,4456,2.3548279219095667,15.021674665798457
long,2,seasonal_naive,2.3548279219095667,4456,2.3548279219095667,0.0
long,2,xgboost,1.9982216757760192,4456,2.3548279219095667,15.143622292552482
long,3,chronos,2.136104085044647,3944,2.506038634728051,14.761725719505858
long,3,climatology,2.8964372542791224,3944,2.506038634728051,-15.578316077853938
long,3,gru,2.1538997303913763,3944,2.506038634728051,14.051615144987107
long,3,lstm,2.243614697065991,3944,2.506038634728051,10.471663685685261
long,3,persistence,3.0276442081460533,3944,2.506038634728051,-20.81394780550163
long,3,random_forest,2.1340243700476913,3944,2.506038634728051,14.844713865344294
long,3,seasonal_naive,2.506038634728051,3944,2.506038634728051,0.0
long,3,xgboost,2.1470522669720524,3944,2.506038634728051,14.324853686661342
long,4,chronos,2.1546954386393367,5836,2.426352720971053,11.196116705694637
long,4,climatology,2.835588452594689,5836,2.426352720971053,-16.86629186624833
long,4,gru,2.2062202447881147,5836,2.426352720971053,9.072566996559306
long,4,lstm,2.23636861113631,5836,2.426352720971053,7.830028511217824
long,4,persistence,2.426352720971053,5836,2.426352720971053,0.0
long,4,random_forest,2.1372701702191184,5836,2.426352720971053,11.914283865382968
long,4,seasonal_naive,2.426352720971053,5836,2.426352720971053,0.0
long,4,xgboost,2.1565463282579835,5836,2.426352720971053,11.119833912898292
medium,1,chronos,2.715334714697561,3934,3.102004687585085,12.465164041661936
medium,1,climatology,4.099522357372745,3934,3.102004687585085,-32.15719414544886
medium,1,gru,2.527818678091181,3934,3.102004687585085,18.510159310587916
medium,1,lstm,2.5888329825701306,3934,3.102004687585085,16.543227902549017
medium,1,persistence,3.6204948697467714,3934,3.102004687585085,-16.71468080744043
medium,1,random_forest,2.530759177047668,3934,3.102004687585085,18.415365805979246
medium,1,seasonal_naive,3.102004687585085,3934,3.102004687585085,0.0
medium,1,xgboost,2.653771286302066,3934,3.102004687585085,14.449797676868414
medium,2,chronos,2.9467192782331235,3578,3.0797669381346764,4.320056113795934
medium,2,climatology,4.3644544193107535,3578,3.0797669381346764,-41.71378896463427
medium,2,gru,2.8850647120262667,3578,3.0797669381346764,6.321979228283259
medium,2,lstm,2.921212025269293,3578,3.0797669381346764,5.148276348515369
medium,2,persistence,4.210991833552624,3578,3.0797669381346764,-36.730860423584424
medium,2,random_forest,2.765830394556205,3578,3.0797669381346764,10.193516259013213
medium,2,seasonal_naive,3.0797669381346764,3578,3.0797669381346764,0.0
medium,2,xgboost,2.928982633075707,3578,3.0797669381346764,4.895964794995011
medium,3,chronos,3.0120396374402745,3152,3.166118705653744,4.866496885866289
medium,3,climatology,4.308775298400054,3152,3.166118705653744,-36.0901374514438
medium,3,gru,3.002755500300328,3152,3.166118705653744,5.159730905278382
medium,3,lstm,3.051334714055506,3152,3.166118705653744,3.625384967192413
medium,3,persistence,3.78978339494374,3152,3.166118705653744,-19.698082961207895
medium,3,random_forest,2.793774702266736,3152,3.166118705653744,11.76026668621466
medium,3,seasonal_naive,3.166118705653744,3152,3.166118705653744,0.0
medium,3,xgboost,2.9675308403182923,3152,3.166118705653744,6.272281104964028
medium,4,chronos,2.9979784374336567,4845,3.1071326557786527,3.51302085998777
medium,4,climatology,4.133812832387546,4845,3.1071326557786527,-33.042688882287386
medium,4,gru,3.0795756051693353,4845,3.1071326557786527,0.8868964946851188
medium,4,lstm,3.024560247744327,4845,3.1071326557786527,2.6575115124472526
medium,4,persistence,3.1071326557786527,4845,3.1071326557786527,0.0
medium,4,random_forest,2.8875894172816374,4845,3.1071326557786527,7.065782598264936
medium,4,seasonal_naive,3.1071326557786527,4845,3.1071326557786527,0.0
medium,4,xgboost,3.064291570740898,4845,3.1071326557786527,1.378798068311593
short,1,chronos,2.7857057978071635,4861,3.310207644861498,15.844983255613265
short,1,climatology,4.199477500036783,4861,3.310207644861498,-26.864473488716545
short,1,gru,3.453497849670386,4861,3.310207644861498,-4.328737655818071
short,1,lstm,3.5052099563618735,4861,3.310207644861498,-5.890938950705449
short,1,persistence,3.3154059672018645,4861,3.310207644861498,-0.15703916183131827
short,1,random_forest,2.4478189857489294,4861,3.310207644861498,26.05240370498425
short,1,seasonal_naive,3.310207644861498,4861,3.310207644861498,0.0
short,1,xgboost,2.4997036039240097,4861,3.310207644861498,24.484990909728886
short,2,chronos,3.2156649689813364,4297,3.362174521879364,4.357583223137773
short,2,climatology,4.335155074730519,4297,3.362174521879364,-28.939025815569064
short,2,gru,3.7316208276041927,4297,3.362174521879364,-10.988314357885208
short,2,lstm,3.791056135583497,4297,3.362174521879364,-12.756078273545413
short,2,persistence,4.02936419328524,4297,3.362174521879364,-19.843992840470847
short,2,random_forest,2.653100859657129,4297,3.362174521879364,21.089733968535405
short,2,seasonal_naive,3.362174521879364,4297,3.362174521879364,0.0
short,2,xgboost,2.7542530461553896,4297,3.362174521879364,18.081199288374926
short,3,chronos,3.3016241186060586,3858,3.3502355942269983,1.450986781487995
short,3,climatology,4.442427251169426,3858,3.3502355942269983,-32.600443348654395
short,3,gru,3.9485843345174407,3858,3.3502355942269983,-17.85990039988514
short,3,lstm,4.052016310294685,3858,3.3502355942269983,-20.947204945137866
short,3,persistence,3.660924687207759,3858,3.3502355942269983,-9.273649098473214
short,3,random_forest,2.8789191427294387,3858,3.3502355942269983,14.068158439654654
short,3,seasonal_naive,3.3502355942269983,3858,3.3502355942269983,0.0
short,3,xgboost,2.89481407106326,3858,3.3502355942269983,13.593716332920103
short,4,chronos,3.2689691603993336,5885,3.244550781180985,-0.7525966109077409
short,4,climatology,4.101118647782641,5885,3.244550781180985,-26.400199114463362
short,4,gru,3.667331929043862,5885,3.244550781180985,-13.030498715418126
short,4,lstm,3.718579648827715,5885,3.244550781180985,-14.609999954267572
short,4,persistence,3.244550781180985,5885,3.244550781180985,0.0
short,4,random_forest,3.0279600301359033,5885,3.244550781180985,6.675523536304306
short,4,seasonal_naive,3.244550781180985,5885,3.244550781180985,0.0
short,4,xgboost,2.935855526254238,5885,3.244550781180985,9.514267944802668
